# Assuming width = 1800, height = 1200:
# 
# [name][TAB][x coordinate][TAB][y coordinate]
#
# 0...............1800.. x ->
# :
# :
# 1200
# :
# y
# |
# ↓
#
#
#  Note: This was how PEAR::Image_Graph library expects the coordinates to be.
#       As opposed to that, proj uses a different system of coordinates:
#
#               +600
#                 ^
#                 |
#                 |
#                 |
#                 |
#   -900 <--------|---------> +900
#                 |
#                 |
#                 |
#                 ↓
#               -600
#
#
#
#
null1	30.0	449.0
null2	845.0	449.0
null3	1660.0	449.0
nordpol	845.0	35.64
suedpol	845.0	862.36
greenwhich	845.0	186.45
Greenwhich	845.0	186.45
land_s_end	822.48	193.38
Land's End	822.48	193.38
eu	861.93	189.57
European Union	861.93	189.57
honolulu	144.53	339.74
Honolulu	144.53	339.74
ap	1592.09	449.0
non-specific Asia-Pacific location	1592.09	449.0
cs	904.05	194.95
former Czechoslovakia	904.05	194.95
fx	854.24	199.37
France, Metropolitan	854.24	199.37
ps	996.7	283.74
Palestinian Territory, Occupied	996.7	283.74
yu	931.87	224.92
Serbia and Montenegro	931.87	224.92
i0	411.26	35.64
private network (rfc 1918)	411.26	35.64
l0	628.13	35.64
loopback	628.13	35.64
--	845.0	35.64
unknown	845.0	35.64
ad	851.18	231.11
Andorra	851.18	231.11
ae	1084.79	323.59
United Arab Emirates	1084.79	323.59
af	1140.94	272.1
Afghanistan	1140.94	272.1
ag	568.62	361.35
Antigua and Barbuda	568.62	361.35
ai	563.69	355.63
Anguilla	563.69	355.63
al	927.19	236.92
Albania	927.19	236.92
am	1030.52	242.71
Armenia	1030.52	242.71
an	534.93	386.98
Netherlands Antilles	534.93	386.98
ao	904.7	494.11
Angola	904.7	494.11
aq	1230.77	801.92
Antarctica	1230.77	801.92
ar	595.11	626.33
Argentina	595.11	626.33
as	79.09	522.13
American Samoa	79.09	522.13
at	910.1	202.7
Austria	910.1	202.7
au	1480.82	629.87
Australia	1480.82	629.87
aw	529.83	384.67
Aruba	529.83	384.67
az	1052.61	241.7
Azerbaijan	1052.61	241.7
ba	920.23	224.34
Bosnia and Herzegovina	920.23	224.34
bb	577.13	381.85
Barbados	577.13	381.85
bd	1244.41	327.44
Bangladesh	1244.41	327.44
be	861.93	189.57
Belgium	861.93	189.57
bf	838.18	385.61
Burkina Faso	838.18	385.61
bg	940.9	230.2
Bulgaria	940.9	230.2
bh	1067.22	314.62
Bahrain	1067.22	314.62
bi	977.87	466.34
Burundi	977.87	466.34
bj	855.99	416.45
Benin	855.99	416.45
bl	564.5	357.34
Saint Barthelemy	564.5	357.34
bm	565.65	283.57
Bermuda	565.65	283.57
bn	1364.69	423.97
Brunei	1364.69	423.97
bo	540.18	533.57
Bolivia	540.18	533.57
br	630.45	529.9
Brazil	630.45	529.9
bs	504.29	320.43
The Bahamas	504.29	320.43
bt	1237.58	308.2
Bhutan	1237.58	308.2
bv	863.9	728.8
Bouvet Island	863.9	728.8
bw	959.24	575.86
Botswana	959.24	575.86
by	950.17	174.53
Belarus	950.17	174.53
bz	448.43	360.58
Belize	448.43	360.58
ca	538.73	216.64
Canada	538.73	216.64
cc	1280.91	511.36
Cocos Islands	1280.91	511.36
cd	914.2	471.04
Democratic Republic of the Congo	914.2	471.04
cf	929.05	426.62
Central African Republic	929.05	426.62
cg	914.2	471.04
Democratic Republic of the Congo	914.2	471.04
ch	874.81	208.97
Switzerland	874.81	208.97
ci	826.77	421.75
Cote d'Ivoire	826.77	421.75
ck	135.95	557.66
Cook Islands	135.95	557.66
cl	541.52	620.4
Chile	541.52	620.4
cm	897.1	429.18
Cameroon	897.1	429.18
cn	1330.88	243.98
China	1330.88	243.98
co	509.97	425.42
Colombia	509.97	425.42
cr	466.02	398.09
Costa Rica	466.02	398.09
cu	480.74	330.43
Cuba	480.74	330.43
cv	739.57	372.54
Cape Verde	739.57	372.54
cx	1321.29	502.39
Christmas Island	1321.29	502.39
cy	987.32	268.74
Cyprus	987.32	268.74
cz	901.82	193.29
Czech Republic	901.82	193.29
de	896.69	181.28
Germany	896.69	181.28
dj	1039.66	390.06
Djibouti	1039.66	390.06
dk	892.31	165.98
Denmark	892.31	165.98
dm	569.89	370.58
Dominica	569.89	370.58
do	533.34	354.35
